iter	Logloss
0	0.6672105847
1	0.6366792081
2	0.6136248619
3	0.5909761831
4	0.5707670837
5	0.5515964886	6	0.5449297097	7	0.5197898488	8	0.5040554528
9	0.4908633207
10	0.4782950587
11	0.4667146703
12	0.4551328596
13	0.4454447141414	0.4375804001
15	0.4305871816	16	0.4224885294
17	0.4146246434
18	0.4088639171
19	0.4047278120	20	0.3984315502121	0.3930142658
22	0.3870411523
23	0.3810758242
24	0.3759699679
25	0.3718281322
26	0.3677340127	27	0.3639912828	28	0.3592490529	29	0.355252130	030	0.351489831	031	0.349278032	032	0.346434033	033	0.343156734	034	0.339625735	035	0.336194436	036	0.332960537	037	0.330411138	038	0.329465539	039	0.326019240	040	0.3232339642
41	0.32044142	0.42	0.31794943	0.43	0.3161385333
44	0.3144698047
45	0.3124270476
46	0.31108947	0.47	0.3091801102
48	0.3062209838
49	0.3032068764
50	0.3011730957
51	0.2999973036
52	0.2971468224
53	0.2955146215
54	0.2939179449
55	0.2926094402
56	0.2919321506
57	0.2900217954
58	0.28859	0.2859	0.2867448058
60	0.284604784
61	0.28254025
62	0.280735232
63	0.2790950801
64	0.2770433217
65	0.2755037794
66	0.2739928605
67	0.2732709471
68	0.2724625281
69	0.2718402175
70	0.2696704444
71	0.2680902929
72	0.2668729737
73	0.2661666245
74	0.2649111561
75	0.2633118082
76	0.2616477676
77	0.2600078963
78	0.2586126966
79	0.2573881278
80	0.2567044642
81	0.2554734248
82	0.2538405611
83	0.2525939514
84	0.2513850713
85	0.2500081753
86	0.2483441241
87	0.2471575906
88	0.246088739
89	0.2454034533
90	0.2446099923
91	0.2437650759
92	0.2428232029
93	0.2427101111
94	0.2414372415
95	0.2403977766
96	0.2396071871
97	0.2390624849
98	0.2376010999
99	0.2365042053
100	0.2350598404
101	0.234304927
102	0.232749568
103	0.2310957984
104	0.2304125501
105	0.2298827997
106	0.2293102197
107	0.2286844114
108	0.2269865157
109	0.2250847213
110	0.2244247082
111	0.2236466585
112	0.2230227234
113	0.2222486381
114	0.2216550162
115	0.2211177664
116	0.2197932862
117	0.2188626357
118	0.2175414692
119	0.2167259537
120	0.2159506251
121	0.2154291766
122	0.2136938036
123	0.2134862961
124	0.2120827901
125	0.2115780903
126	0.2107773205
127	0.209340057
128	0.2086522598
129	0.2082174397
130	0.2076502246
131	0.207020272
132	0.2066073148
133	0.2063141803
134	0.2055115871
135	0.2048267023
136	0.2045322957
137	0.202855853
138	0.2023810833
139	0.2016181862
140	0.2003982687
141	0.1996877165
142	0.1989210181
143	0.1982643953
144	0.1971542208
145	0.1968891098
146	0.1967850077
147	0.1959751925
148	0.1949570275
149	0.19443026
150	0.1937270896
151	0.1932789105
152	0.1923696851
153	0.1918710087
154	0.1912409781
155	0.1902728902
156	0.1896704276
157	0.1890113097
158	0.1883557058
159	0.187817118
160	0.1875226987
161	0.1869230754
162	0.1862215942
163	0.1859845615
164	0.1851640499
165	0.1847946532
166	0.1831615657
167	0.1826632778
168	0.1812465373
169	0.1811021631
170	0.1809319698
171	0.1802213381
172	0.1794429661
173	0.1793014353
174	0.1784343786
175	0.1776492859
176	0.176508884
177	0.1762730519
178	0.1754692215
179	0.1740272587
180	0.1735818461
181	0.1731020863
182	0.1722706317
183	0.1721105092
184	0.1712724716
185	0.1701953043
186	0.1698517023
187	0.1685452418
188	0.1678178366
189	0.1673417965
2114
191	0.1688225772
192	0.1676201849
193	0.1668332397
194	0.1659706245
195	0.1656662216
196	0.1654279466
197	0.1648882993
198	0.1641890917
199	0.1638691661
200	0.1631727319
391
201	0.1718185281
202	0.1714563816
203	0.1709837023
